Date,AGL.JO,BID.JO,CPI.JO
2020-03-12,26503.859375,24633.453125,122399.6953125
2020-03-13,27149.005859375,24939.111328125,119884.125
2020-03-16,24984.486328125,23362.875,112088.640625
2020-03-17,25513.134765625,22768.53515625,110882.8125
2020-03-18,22472.4296875,19702.966796875,79922.75
2020-03-19,20651.53125,18426.39453125,68184.109375
2020-03-20,22606.55078125,19877.76953125,96929.3125
2020-03-23,21427.861328125,19459.236328125,92310.765625
2020-03-24,24885.609375,19478.21875,95707.4921875
2020-03-25,26798.533203125,20177.853515625,99903.4375
2020-03-26,27449.552734375,20270.763671875,103279.1640625
2020-03-27,27921.419921875,20166.865234375,84917.9140625
2020-03-30,28732.9921875,20480.564453125,82738.015625
2020-03-31,29787.3515625,21247.83984375,87915.015625
2020-04-01,28930.74609375,21000.07421875,87448.4765625
2020-04-02,29226.396484375,21794.318359375,91917.1640625
2020-04-03,27880.302734375,21677.427734375,91510.546875
2020-04-06,29271.4296875,22720.44140625,102201.2109375
2020-04-07,31132.466796875,23977.251953125,108395.21875
2020-04-08,30967.01953125,24293.94921875,102371.0390625
2020-04-09,32127.107421875,24792.474609375,106996.578125
2020-04-14,32715.47265625,24916.357421875,105672.859375
2020-04-15,31078.623046875,23940.28515625,95996.2109375
2020-04-16,30695.841796875,23206.978515625,92460.625
2020-04-17,32397.3046875,23194.990234375,90887.15625
2020-04-20,31994.9453125,22824.34375,92098.9765625
2020-04-21,30495.15234375,22224.912109375,89913.1015625
2020-04-22,30842.689453125,21767.34765625,94211.921875
2020-04-23,32197.59375,22180.955078125,92327.7578125
2020-04-24,32264.1640625,22894.275390625,93209.90625
2020-04-28,32638.1328125,22549.603515625,88064.8828125
2020-04-29,33951.921875,23916.306640625,96605.625
2020-04-30,32218.15234375,24142.091796875,90112.890625
2020-05-04,31010.09375,24017.208984375,85528.3203125
2020-05-05,30817.234375,23877.341796875,88586.375
2020-05-06,31433.990234375,23977.251953125,86087.7890625
2020-05-07,32739.947265625,24077.154296875,86454.4296875
2020-05-08,33892.203125,23989.240234375,87768.171875
2020-05-11,31403.642578125,23977.251953125,81421.296875
2020-05-12,31480.982421875,22777.38671875,84917.9140625
2020-05-13,30522.5625,22178.95703125,82912.8515625
2020-05-14,30022.3046875,21959.1640625,79291.359375
2020-05-15,31727.68359375,21633.47265625,80993.703125
2020-05-18,34993.5546875,22578.576171875,83403.3828125
2020-05-19,35205.01171875,22462.68359375,86461.421875
2020-05-20,35352.83984375,23137.046875,88981.984375
2020-05-21,34100.7265625,23090.08984375,89963.0390625
2020-05-22,33163.84375,22878.291015625,85916.953125
2020-05-25,33563.265625,22700.4609375,84330.4921875
2020-05-26,33960.73046875,23477.72265625,90478.5390625
2020-05-27,34776.21875,24391.85546875,88926.046875
2020-05-28,35818.83203125,24942.33203125,88942.03125
2020-05-29,35786.52734375,24606.650390625,84495.3359375
2020-06-01,36027.35546875,24540.71484375,87038.875
2020-06-02,36907.453125,25024.25390625,90295.7265625
2020-06-03,37542.8125,26095.23828125,95418.765625
2020-06-04,37095.41796875,25680.6328125,96538.6875
2020-06-05,38815.48046875,26345.998046875,105603.9140625
2020-06-08,38775.34375,26675.689453125,101981.4296875
2020-06-09,38687.234375,26786.580078125,98904.3984375
2020-06-10,38404.3125,26125.212890625,93635.4921875
2020-06-11,37460.578125,26000.328125,90520.5
2020-06-12,38246.6953125,26325.021484375,91691.3671875
2020-06-15,37201.1484375,26125.212890625,88998.9765625
2020-06-17,38375.921875,27973.458984375,91111.9375
2020-06-18,38018.59375,28208.232421875,89767.2265625
2020-06-19,38519.83203125,29252.2421875,90550.4765625
2020-06-22,38376.8984375,28572.890625,88463.5078125
2020-06-23,39536.98828125,28690.775390625,87922.0078125
2020-06-24,38785.1328125,28638.828125,85658.203125
2020-06-25,38914.359375,28296.150390625,90092.921875
2020-06-26,38652.97265625,28342.107421875,84992.8515625
2020-06-29,38951.55859375,28549.908203125,87096.828125
2020-06-30,39288.328125,28323.125,85787.0703125
2020-07-01,37984.33203125,28333.115234375,85866.015625
2020-07-02,38742.05859375,28580.876953125,86434.4453125
2020-07-03,37886.43359375,28548.908203125,84861.9765625
2020-07-06,38547.2421875,28541.91796875,78552.0703125
2020-07-07,38825.2734375,28214.2265625,79722.9453125
2020-07-08,39150.29296875,28608.853515625,81937.796875
2020-07-09,39403.84765625,28168.271484375,81920.8203125
2020-07-10,39916.83203125,27784.63671875,82488.2578125
2020-07-13,40665.75,28383.06640625,83631.15625
2020-07-14,40198.77734375,28324.123046875,84893.9375
2020-07-15,40181.15625,28040.392578125,85169.671875
2020-07-16,39729.84765625,28512.943359375,86019.8515625
2020-07-17,39938.37109375,28038.392578125,86016.8515625
2020-07-20,40175.28125,28011.419921875,86328.5546875
2020-07-21,39887.4609375,28340.109375,88937.03125
2020-07-22,39550.6953125,28116.322265625,90197.8046875
2020-07-23,40417.08984375,27789.62890625,89183.8046875
2020-07-24,40533.58984375,27827.595703125,86848.0546875
2020-07-27,41166.98828125,27971.458984375,89778.21875
2020-07-28,41364.73828125,28159.28125,95765.4296875
2020-07-29,41275.65234375,28736.732421875,99585.7421875
